18994221	174521	4.63
-1	155526	4.62
37297	-1	4.59
71925	27865	4.56
18393	-1	4.5
7878457	20781999	4.47
4822	-1	4.47
-1	-1	4.47
-1	352169	4.46
10646	26574	4.42
5236	1408983	4.38
22649	21296224	4.38
-1	24702	4.25
-1	-1	4.25
223063	-1	4.25
7818	2973525	4.13
-1	34341	4.06
-1	-1	4.06
148131	-1	3.97
8376	29392	3.94
20913771	10772350	3.91
19039812	962509	3.88
19641	29678	3.88
19417927	-1	3.88
-1	651358	3.88
23004	18985062	3.85
21296224	5881	3.78
22949	8449	3.75
19372783	-1	3.73
1424937	-1	3.69
202899	205135	3.69
437868	24702	3.69
24702	-1	3.69
43254	19728	3.69
4692150	-1	3.63
18839	-1	3.63
208159	-1	3.56
297724	18839	3.47
28022	-1	3.44
-1	-1	3.38
6412297	20354	3.38
8983183	45599	3.31
-1	20781999	3.31
43254	-1	3.31
56231	236975	3.25
77298	294833	3.19
5881	21754	3.16
5236	11090	3.15
480527	66986	3.08
7984	13673345	3.04
24113	375211	3
77182	8874869	3
-1	-1	2.97
14640471	33306	2.94
24702	15176	2.94
1424937	584894	2.92
19641	41968	2.88
23004	106238	2.81
-1	9649	2.75
318378	30677	2.69
-1	15176	2.69
7984	83430	2.65
22348	14543	2.63
30874303	70210	2.56
-1	39378	2.56
34289	-1	2.5
23004	-1	2.5
1424937	-1	2.4
875650	1134265	2.38
608760	37575	2.38
42446	77432	2.31
4767947	5308	2.25
54634	20781999	2.22
1424937	42176	2.15
63752	66986	2.08
12581	25152964	2.08
-1	1723133	1.94
1424937	-1	1.92
11090	247010	1.85
657129	19196010	1.81
9649	214196	1.81
20354	14276	1.81
23004	-1	1.77
-1	-1	1.75
19372783	30003	1.62
12178732	26805	1.62
19372783	6429	1.31
7984	768413	1.31
-1	25613	1.19
19372783	147676	0.92
19372783	-1	0.92
419369	27992	0.92
-1	7689495	0.92
27712	-1	0.88
26574	-1	0.62
297947	187557	0.54
209005	1810027	0.54
20646803	164491	0.31
19012	55115	0.23
